re;city;geo_lat;geo_lon
топк[а|и]?[х|м]?;Топки;55.2764707;85.6152619
юрг[а|е|у];Юрга;55.7202694;84.8886399
стар[а|о|у][ю|я|й] холуниц[а|е|у];Белая Холуница;58.8415239;50.8460699
вятские полян[ы|о|а|е][м|в]?;Вятские Поляны;56.2284817;51.0614855
зуевк[а|е|у];Зуевка;58.4032152;51.1331606
киров[а|у|е]?;Киров;58.6035264;49.6679304
кирово-чепецк[а|у|е]?;Кирово-Чепецк;58.5559424;50.0316848
кирс[а|у|е]?;Кирс;59.340056;52.2414437
котельнич[а|у|е]?;Котельнич;58.3034832;48.3475597
луз[а|е|у];Луза;60.6290609;47.2612445
малмыж[а|у|е]?;Малмыж;56.5243844;50.6782739
мураш[и|а|е][й|м|х]?;Мураши;59.3955383;48.9638417
нолинск[а|у|е]?;Нолинск;57.5597284;49.93575
омутнинск[а|у|е]?;Омутнинск;58.6698913;52.1894564
орлов[а|у|е]?;Орлов;58.5389776;48.8927723
слободско[й|я|е|ю];Слободской;58.7311574;50.1669249
советск[а|у|е]?;Советск;57.584196;48.9590272
сосновк[а|е|у];Сосновка;56.2532741;51.2833642
уржум[а|у|е]?;Уржум;57.1097477;50.0058097
яранск[а|у|е]?;Яранск;57.3040326;47.8478737
воркут[а|е|у];Воркута;67.4974082;64.061034
вуктыл[а|у|е]?;Вуктыл;63.8615274;57.3165402
емв[а|е|у];Емва;62.5965137;50.8732125
инт[а|е|у];Инта;66.0367316;60.1152961
микун[ь|и];Микунь;62.3579068;50.0719503
печор[а|е|у];Печора;65.148584;57.2239777
сосногорск[а|у|е]?;Сосногорск;63.5989841;53.876293
сыктывкар[а|у|е]?;Сыктывкар;61.6686617;50.8358151
усинск[а|у|е]?;Усинск;65.994147;57.5569423
ухт[а|е|у];Ухта;63.5565514;53.7014239
бу[й|я|е|ю];Буй;58.4733277;41.5306822
волгореченск[а|у|е]?;Волгореченск;57.4424559;41.1594201
галич[а|у|е]?;Галич;58.3828191;42.3654013
кологрив[а|у|е]?;Кологрив;58.8269323;44.3184927
костром[а|е|у];Кострома;57.768;40.927
макарьев[а|у|е]?;Макарьев;57.8807152;43.8014197
мантуров[о|у|е];Мантурово;58.3265441;44.757494
нерехт[а|е|у];Нерехта;57.4543369;40.5723598
солигалич[а|у|е]?;Солигалич;59.0784867;42.2878423
чухлом[а|е|у];Чухлома;58.753421;42.6884958
шарь[я|и|е|ю];Шарья;58.3760542;45.4062414
абинск[а|у|е]?;Абинск;44.8679655;38.1618157
анап[а|е|у];Анапа;44.8950433;37.3163282
апшеронск[а|у|е]?;Апшеронск;44.4584006;39.7299824
армавир[а|у|е]?;Армавир;45.0012149;41.1324168
белореченск[а|у|е]?;Белореченск;44.7651876;39.8781494
геленджик[а|у|е]?;Геленджик;44.5630007;38.0790852
горячий ключ[а|у|е]?;Горячий Ключ;44.6344864;39.1354738
гулькевич[и|а|е][й|м|х]?;Гулькевичи;45.3605121;40.6918389
ейск[а|у|е]?;Ейск;46.71157;38.2763895
кореновск[а|у|е]?;Кореновск;45.4641703;39.458949
краснодар[а|у|е]?;Краснодар;45.0401604;38.9759647
кропоткин[а|у|е]?;Кропоткин;45.4333007;40.5727951
крымск[а|у|е]?;Крымск;44.9344404;37.9855795
курганинск[а|у|е]?;Курганинск;44.8877025;40.5913245
лабинск[а|у|е]?;Лабинск;44.6354363;40.7245341
новокубанск[а|у|е]?;Новокубанск;45.1038699;41.0475175
новороссийск[а|у|е]?;Новороссийск;44.7235026;37.7686135
приморско-ахтарск[а|у|е]?;Приморско-Ахтарск;46.0515432;38.1704875
славянск[а|е|у]-на-кубани?;Славянск-на-Кубани;45.2603626;38.1259774
соч[и|а|е][й|м|х]?;Сочи;43.5854551;39.7231548
темрюк[а|у|е]?;Темрюк;45.2610949;37.4454412
тимашевск[а|у|е]?;Тимашевск;45.615923;38.9351837
тихорецк[а|у|е]?;Тихорецк;45.8546345;40.1260267
туапс[я|и|е|ю];Туапсе;44.1105335;39.0824904
усть-лабинск[а|у|е]?;Усть-Лабинск;45.2227359;39.6929577
хадыженск[а|у|е]?;Хадыженск;44.4122963;39.5320258
артемовск[а|у|е]?;Артемовск;54.3473075;93.4358377
ачинск[а|у|е]?;Ачинск;56.253907;90.4794397
боготол[а|у|е]?;Боготол;56.2098468;89.5299336
бородин[о|у|е];Бородино;55.9054121;94.9020967
дивногорск[а|у|е]?;Дивногорск;55.9576784;92.3800687
дудинк[а|е|у];Дудинка;69.4031364;86.1907218
енисейск[а|у|е]?;Енисейск;58.4485261;92.1651083
железногорск[а|у|е]?;Железногорск;56.2529035;93.532273
заозерн[ы|о][й|г|м][о|у]?;Заозерный;55.9617752;94.7091491
зеленогорск[а|у|е]?;Зеленогорск;56.1131564;94.5888103
игарк[а|е|у];Игарка;67.4666901;86.5812794
иланск[и|о][й|г|м][о|у]?;Иланский;56.2374037;96.067267
канск[а|у|е]?;Канск;56.2051282;95.7051096
кодинск[а|у|е]?;Кодинск;58.6032644;99.1797962
красноярск[а|у|е]?;Красноярск;56.0093879;92.8524806
лесосибирск[а|у|е]?;Лесосибирск;58.221681;92.5037872
минусинск[а|у|е]?;Минусинск;53.7104586;91.6872907
назаров[о|у|е];Назарово;56.0113799;90.4168775
норильск[а|у|е]?;Норильск;69.3489978;88.2009846
сосновоборск[а|у|е]?;Сосновоборск;56.1202647;93.3354121
ужур[а|у|е]?;Ужур;55.3141969;89.8333918
уяр[а|у|е]?;Уяр;55.8131263;94.3282601
шарыпов[о|у|е];Шарыпово;55.5389739;89.1801044
ялт[а|е|у];Ялта;44.4164605;34.0444797
алушт[а|е|у];Алушта;44.6764304;34.4100624
армянск[а|у|е]?;Армянск;46.1059307;33.6910012
бахчисара[й|я|ю|е]?;Бахчисарай;44.7514769;33.8752176
белогорск[а|у|е]?;Белогорск;45.057202;34.5999029
джанко[й|я|е|ю];Джанкой;45.7092306;34.3883372
евпатори[я|и|е|ю];Евпатория;45.190629;33.367634
керч[ь|и];Керчь;45.3562627;36.4674513
красноперекопск[а|у|е]?;Красноперекопск;45.9537576;33.7921939
сак[а|и]?[х|м]?;Саки;45.1341997;33.6033383
симферопол[ь|и];Симферополь;44.9482948;34.1001151
стар[ы|о][й|г|м][у|о]? крым[а|у|е]?;Старый Крым;45.029058;35.0901474
судак[а|у|е]?;Судак;44.8504679;34.9762034
феодоси[я|и|е|ю];Феодосия;45.0318393;35.3824259
щелкин[о|у|е];Щелкино;45.4288991;35.825165
ялт[а|е|у];Ялта;44.4953612;34.166308
далматов[о|у|е];Далматово;56.262114;62.9387011
катайск[а|у|е]?;Катайск;56.290809;62.5800359
курган[а|у|е]?;Курган;55.4443883;65.3161963
куртамыш[а|у|е]?;Куртамыш;54.9368539;64.4203722
макушин[о|у|е];Макушино;55.2153947;67.2451705
петухов[о|у|е];Петухово;55.0650077;67.8873408
шадринск[а|у|е]?;Шадринск;56.0870344;63.6297182
шумих[а|е|у];Шумиха;55.2280246;63.2901272
щучь[я|и|е|ю];Щучье;55.2087637;62.7478548
дмитриев[а|у|е]?;Дмитриев;52.1268464;35.0739038
железногорск[а|у|е]?;Железногорск;52.3380202;35.3516867
курск[а|у|е]?;Курск;51.7303637;36.1925603
курчатов[а|у|е]?;Курчатов;51.6604083;35.6572224
